Class,Date,Content,IsCorrect
w,2022-10-30 00:19:21.843906,love,False
w,2022-10-30 00:19:22.692276,love,False
w,2022-10-30 00:19:23.732348,love,False
w,2022-10-30 00:19:24.719903,love,False
w,2022-10-30 00:19:27.021558,you,False
w,2022-10-30 00:19:27.951723,you,False
w,2022-10-30 00:19:29.484701,you,False
w,2022-10-30 00:19:32.784906,do,False
w,2022-10-30 00:19:34.110468,do,False
w,2022-10-30 00:19:35.065637,do,False
w,2022-10-30 00:19:36.061665,do,False
w,2022-10-30 00:35:54.514098,love,False
w,2022-10-30 00:36:01.997433,love,False
w,2022-10-30 00:38:27.060733,I,False
w,2022-10-30 00:39:21.956358,I,False
w,2022-10-30 02:05:22.018253,We,False
w,2022-10-30 02:07:59.089197,I,False
w,2022-10-30 02:10:32.284800,love,False
